District ID;Electoral district ;Number of pollworkers 
111;Tunis 1;2002
112;Tunis 2;1928
120;Ariana;1728
130;Ben Arous;2026
140;Manouba;1342
151;Nabeul 1;4207
152;Nabeul 2;5553
160;Zaghouan;1013
170;Bizerte;2077
210;Beja;1362
220;Jendouba;2037
230;Kef;1826
240;Siliana;1735
310;Sousse;2235
320;Monastir;1657
330;Mahdia;2025
341;Sfax 1;1556
342;Sfax 2;1911
410;Kairouan;2469
420;Kasserine;2426
430;Sidi Bouzid;1977
510;Gabes;1403
520;Medenine;1383
530;Tataouine;754
610;Gafsa;1513
620;Tozeur;1076
630;Kebili;887
;Total;52108
