;Electoral district ;Actively  registered;Automatically registered;Total  votes ;Ratio of national votes 
111;Tunis 1;177463;38908;216371;5,02
112;Tunis 2;205239;27033;232272;5,39
120;Ariana;176468;29619;206087;4,79
130;Ben Arous;216000;28789;244789;5,68
140;Manouba;125045;15715;140760;3,27
151;Nabeul 1;153786;27396;181182;4,21
152;Nabeul 2;118743;15251;133994;3,11
160;Zaghouan;55749;10735;66484;1,54
170;Bizerte;176160;34403;210563;4,89
210;Beja;94973;17668;112641;2,62
220;Jendouba;113978;20765;134743;3,13
230;Kef;83068;11839;94907;2,2
240;Siliana;66346;11871;78217;1,82
310;Sousse;210692;42118;252810;5,87
320;Monastir;182895;28326;211221;4,9
330;Mahdia;110240;30415;140655;3,27
341;Sfax 1;143339;14505;157844;3,67
342;Sfax 2;193615;30226;223841;5,2
410;Kairouan;152516;27236;179752;4,17
420;Kasserine;123289;18072;141361;3,28
430;Sidi Bouzid;123317;15469;138786;3,22
510;Gabes;131545;14432;145977;3,39
520;Medenine;134720;25947;160667;3,73
530;Tataouine;36600;8142;44742;1,04
610;Gafsa;101450;25384;126834;2,95
620;Tozeur;39959;6674;46633;1,08
630;Kebili;60009;11762;71771;1,67
;France1;68400;0;68400;1,59
;France2;56364;0;56364;1,31
;Italie;23328;714;24042;0,56
;Allemagne;13486;0;13486;0,31
;Amerique;28371;13;28384;0,66
;Monde arabe;19746;0;19746;0,46
;Total;3716899;589427;4306326;100
