District ID;Electoral district;Actively registered;Actively registered turnout ;Automatically registered;Automatically registered turnout ;Eligible voters ;Eligible voters turnout 
111;Tunis 1;202668;87,56;289461;13,44;492129;43,97
112;Tunis 2;233400;87,93;145408;18,59;378808;61,32
120;Ariana;226444;77,93;135781;21,81;362225;56,89
130;Ben Arous;242667;89,01;197989;14,54;440656;55,55
140;Manouba;143831;86,94;123424;12,73;267255;52,67
151;Nabeul 1;174849;87,95;153248;17,88;328097;55,22
152;Nabeul 2;137224;86,53;80842;18,87;218066;61,45
160;Zaghouan;65277;85,4;63488;16,91;128765;51,63
170;Bizerte;202605;86,95;244925;14,05;447530;47,05
210;Beja;120007;79,14;119053;14,84;239060;47,12
220;Jendouba;137615;82,82;192799;10,77;330414;40,78
230;Kef;103549;80,22;102331;11,57;205880;46,1
240;Siliana;81799;81,11;95679;12,41;177478;44,07
310;Sousse;239828;87,85;215917;19,51;455745;55,47
320;Monastir;211571;86,45;155579;18,21;367150;57,53
330;Mahdia;127812;86,25;159436;19,08;287248;48,97
341;Sfax 1;163034;87,92;92203;15,73;255237;61,84
342;Sfax 2;223242;86,73;191360;15,8;414602;53,99
410;Kairouan;180755;84,38;230251;11,83;411006;43,73
420;Kasserine;160575;76,78;133016;13,59;293591;48,15
430;Sidi Bouzid;154868;79,63;139523;11,09;294391;47,14
510;Gabes;155594;84,54;123413;11,69;279007;52,32
520;Medenine;151488;88,93;211007;12,3;362495;44,32
530;Tataouine;45191;80,99;69450;11,72;114641;39,03
610;Gafsa;124173;81,7;129753;19,56;253926;49,95
620;Tozeur;46492;85,95;29833;22,37;76325;61,1
630;Kebili;67044;89,51;45153;26,05;112197;63,97
;France1;93978;72,78;100990;0;194968;35,08
;France2;89757;62,8;149651;0;239408;23,54
;Italie;67364;34,63;35299;2,02;102663;23,42
;Allemagne;37065;36,38;26364;0;63429;21,26
;Amerique;54073;52,47;18089;0,07;72162;39,33
;Monde arabe;18307;107,86;30659;0;48966;40,33
;Total;4484146;82,89;4231374;13,93;8715520;49,41
