District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes of the list in actively registered PS;Votes in automatically registered PS;ratio of total votes of the list in automatically registered PS;Total  votes in the district;ratio of total votes of the district;
111;Tunis 1;0;0;0;0;0;0;
112;Tunis 2;0;0;0;0;0;0;
120;Ariana;0;0;0;0;0;0;
130;Ben Arous;0;0;0;0;0;0;
140;Manouba;277;2,75;38;2,53;315;0,22;
151;Nabeul 1;0;0;0;0;0;0;
152;Nabeul 2;762;7,56;62;4,13;824;0,61;
160;Zaghouan;0;0;0;0;0;0;
170;Bizerte;1579;15,67;395;26,32;1974;0,94;
210;Beja;0;0;0;0;0;0;
220;Jendouba;545;5,41;90;6;635;0,47;
230;Kef;0;0;0;0;0;0;
240;Siliana;621;6,16;103;6,86;724;0,93;
310;Sousse;0;0;0;0;0;0;
320;Monastir;0;0;0;0;0;0;
330;Mahdia;0;0;0;0;0;0;
341;Sfax1;0;0;0;0;0;0;
342;Sfax 2;0;0;0;0;0;0;
410;Kairouan;446;4,43;59;3,93;505;0,28;
420;Kasserine;4542;45,07;528;35,18;5070;3,59;
430;Sidi Bouzid;0;0;0;0;0;0;
510;Gabes;0;0;0;0;0;0;
520;Medenine;1145;11,36;226;15,06;1371;0,85;
530;Tataouine;0;0;0;0;0;0;
610;Gafsa;0;0;0;0;0;0;
620;Tozeur;0;0;0;0;0;0;
630;Kebili;0;0;0;0;0;0;
;France1;108;1,07;0;0;108;0,16;
;France2;0;0;0;0;0;0;
;Italie;0;0;0;0;0;0;
;Allemagne;0;0;0;0;0;0;
;Amerique;52;0,52;0;0;52;0,18;
;Monde arabe;0;0;0;0;0;0;
;Total;10077;0,27;1501;0,25;11578;0,27;
