District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Ratio of total votes for the list in actively registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;0;0;0;0;0;0
112;Tunis 2;186;1,98;25;1,93;211;0,09
120;Ariana;0;0;0;0;0;0
130;Ben Arous;0;0;0;0;0;0
140;Manouba;241;2,57;29;2,23;270;0,19
151;Nabeul 1;0;0;0;0;0;0
152;Nabeul 2;0;0;0;0;0;0
160;Zaghouan;585;6,23;137;10,55;722;1,09
170;Bizerte;0;0;0;0;0;0
210;Beja;0;0;0;0;0;0
220;Jendouba;0;0;0;0;0;0
230;Kef;5357;57,09;664;51,16;6021;6,34
240;Siliana;0;0;0;0;0;0
310;Sousse;557;5,94;120;9,24;677;0,27
320;Monastir;1113;11,86;277;21,34;1390;0,66
330;Mahdia;0;0;0;0;0;0
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;0;0;0;0;0;0
420;Kasserine;423;4,51;46;3,54;469;0,33
430;Sidi Bouzid;0;0;0;0;0;0
510;Gabes;0;0;0;0;0;0
520;Medenine;0;0;0;0;0;0
530;Tataouine;0;0;0;0;0;0
610;Gafsa;0;0;0;0;0;0
620;Tozeur;0;0;0;0;0;0
630;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;791;8,43;0;0;791;3,29
;Allemagne;0;0;0;0;0;0
;Amerique;130;1,39;0;0;130;0,46
;Monde arabe;0;0;0;0;0;0
;Total;9383;0,25;1298;0,22;10681;0,25
