District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Total  votes in the district
111;Tunis 1;0;0;0;0;0;0
112;Tunis 2;0;0;0;0;0;0
120;Ariana;0;0;0;0;0;0
130;Ben Arous;0;0;0;0;0;0
140;Manouba;0;0;0;0;0;0
151;Nabeul 1;0;0;0;0;0;0
152;Nabeul 2;2367;29,17;214;19,33;2581;1,93
160;Zaghouan;0;0;0;0;0;0
170;Bizerte;0;0;0;0;0;0
210;Beja;0;0;0;0;0;0
220;Jendouba;699;8,61;129;11,65;828;0,61
230;Kef;0;0;0;0;0;0
240;Siliana;0;0;0;0;0;0
310;Sousse;0;0;0;0;0;0
320;Monastir;0;0;0;0;0;0
330;Mahdia;0;0;0;0;0;0
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;525;6,47;91;8,22;616;0,28
410;Kairouan;0;0;0;0;0;0
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;295;3,64;74;6,68;369;0,27
510;Gabes;555;6,84;47;4,25;602;0,41
520;Medenine;0;0;0;0;0;0
530;Tataouine;0;0;0;0;0;0
610;Gafsa;3673;45,27;552;49,86;4225;3,33
620;Tozeur;0;0;0;0;0;0
630;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;8114;0,22;1107;0,19;9221;0,21
