District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district ;Ratio of total votes of the district
111;Tunis 1;5713;3,99;1258;7,2;6971;3,22
112;Tunis2;12154;8,49;1057;6,05;13211;5,69
120;Ariana;8848;6,18;1021;5,84;9869;4,79
130;Ben Arous;10322;7,21;935;5,35;11257;4,6
140;Manouba;3868;2,7;358;2,05;4226;3
151;Nabeul 1;5411;3,78;697;3,99;6108;3,37
152;Nabeul 2;5152;3,6;467;2,67;5619;4,19
160;Zaghouan;3078;2,15;624;3,57;3702;5,57
170;Bizerte;8867;6,19;1395;7,98;10262;4,87
210;Beja;6447;4,5;1072;6,14;7519;6,68
220;Jendouba;5239;3,66;1139;6,52;6378;4,73
230;Kef;3087;2,16;307;1,76;3394;3,58
240;Siliana;3058;2,14;447;2,56;3505;4,48
310;Sousse;6754;4,72;765;4,38;7519;2,97
320;Monastir;4133;2,89;435;2,49;4568;2,16
330;Mahdia;4102;2,86;958;5,48;5060;3,6
341;Sfax 1;3488;2,44;495;2,83;3983;2,52
342;Sfax 2;3410;2,38;490;2,8;3900;1,74
410;Kairouan;2107;1,47;294;1,68;2401;1,34
420;Kasserine;4944;3,45;643;3,68;5587;3,95
430;Sidi Bouzid;1363;0,95;144;0,82;1507;1,09
510;Gabes;4025;2,81;316;1,81;4341;2,97
520;Medenine;4941;3,45;745;4,26;5686;3,54
530;Tataouine;1619;1,13;306;1,75;1925;4,3
610;Gafsa;2807;1,96;547;3,13;3354;2,64
620;Tozeur;1399;0,98;153;0,88;1552;3,33
630;Kebili;2130;1,49;405;2,32;2535;3,53
;France1;5191;3,62;0;0;5191;7,59
;France2;4022;2,81;0;0;4022;7,14
;Italie;1296;0,9;0;0;1296;5,39
;Allemagne;0;0;0;0;0;0
;Amerique;2787;1,95;0;0;2787;9,82
;Monde arabe;1457;1,02;0;0;1457;7,38
;Total;143219;3,85;17473;2,96;160692;3,73
